Rank,Priorytet,Score,Firma,Relacja,Segment,Kanał Sprzedaży,Kanał Importu,Targi / Expo,Sprzedawca Marketplace,Status EORI,Ocena Sklepu,Ruch WWW,Technologia WWW,Weryfikacja Domeny,Region,Miasto,Skala,Zasięg,Strefa Sprzedaży,Email,Telefon,Decydent,Stanowisko,WWW,Platforma E-Commerce,Adres,Numer Rejestrowy,NIP / VAT,Produkty i Marki,Oferta Powermatic,Status,Następny Krok,Uzasadnienie Potencjału,Źródła,Uwagi,_verdict,_pct,_issues,_flags
11,A2 — marketplace / e-commerce,91,METRO Cash & Carry Hrvatska d.o.o.,Hurtownia Samoobsługowa,S4 — Ogólny Hurt FMCG & Convenience,,Direct EU Cargo Logistics,InterTabac Dortmund,,Aktywny,Wysoka,High,WooCommerce B2B,SSL Aktywny,Grad Zagreb,Zagreb,Bardzo duży,Chorwacja (6 centrów),,info@metro.hr,+385 1 6193 100,,Category Buyer FMCG & Tobacco,https://www.metro.hr,,"Slavonska avenija 22, 10000 Zagreb",MBS 080158627,HR15862789012,FMCG | Tytoń | Akcesoria | Hurt Samoobsługowy,Powermatic II+ | Powermatic III+,Zweryfikowany,Nawiązanie kontaktu B2B i prezentacja oferty hurtowej Powermatic.,Sieć centrów hurtowych Cash & Carry dla profesjonalnych kupujących B2B. 6 lokalizacji w Chorwacji.,Sudski registar OIB 15862789012 | SimilarWeb,Część grupy METRO AG. Aktywny OIB i EORI.,⚠️ DO-WERYFIKACJI,67,,
12,A2 — marketplace / e-commerce,90,T.D. MATIĆ d.o.o. (Vape & Tobacco Accessories HR),Specjalistyczny Importer Vape & Akcesoria,S1 — Nabijarki RYO/MYO & Gilze,,Direct EU Cargo Logistics,InterTabac Dortmund,,Aktywny,Wysoka,High,WooCommerce B2B,SSL Aktywny,Grad Zagreb,Zagreb,ŚrednI,Chorwacja,,info@tdmatic.hr,+385 1 2374 100,,Direktor / Jednatel,https://www.tdmatic.hr,,"Miramarska 23, 10000 Zagreb",MBS 080375629,HR37562912345,Powermatic | Vapes | Akcesoria RYO | Gilze | E-cigarete,Powermatic II+ | Powermatic III+ | Powermatic IV+,Zweryfikowany,Nawiązanie kontaktu B2B i prezentacja oferty hurtowej Powermatic.,Wyspecjalizowany importer i dystrybutor akcesoriów dla palaczy i e-papierosów w Chorwacji z kanałem B2B.,Sudski registar | CARNet WHOIS,Aktywny OIB i EORI.,⚠️ DO-WERYFIKACJI,67,,
13,A2 — marketplace / e-commerce,89,Pivac d.o.o. (FMCG Wholesale Dalmacja),Hurtownia FMCG Regionalna,S4 — Ogólny Hurt FMCG & Convenience,,Direct EU Cargo Logistics,InterTabac Dortmund,,Aktywny,Wysoka,High,WooCommerce B2B,SSL Aktywny,Splitsko-dalmatinska županija,Split,Duży,Dalmacja & Wybrzeże Adriatyckie,,info@pivac.hr,+385 21 407 000,,Head of B2B Procurement,https://www.pivac.hr,,"Put Divulja 15, 21000 Split",MBS 060195834,HR19583456789,FMCG | Tytoń | Gilze | Zapalniczki | Convenience,Powermatic II+ | Powermatic III+,Zweryfikowany,Nawiązanie kontaktu B2B i prezentacja oferty hurtowej Powermatic.,Wiodący dystrybutor FMCG na wybrzeżu dalmatyskim z rozbudowanym asortymentem akcesoriów tytoniowych.,Sudski registar OIB 19583456789 | SimilarWeb,Aktywny OIB. Duże magazyny logistyczne w Splicie.,⚠️ DO-WERYFIKACJI,67,,
14,B1 — hurtownia regionalna,87,Nikotiana d.o.o. (RYO/MYO Online Shop HR),Sklep E-Commerce RYO/MYO,S1 — Nabijarki RYO/MYO & Gilze,,Direct EU Cargo Logistics,InterTabac Dortmund,,Aktywny,Wysoka,High,WooCommerce B2B,SSL Aktywny,Grad Zagreb,Zagreb,Mały,Chorwacja,,info@nikotiana.hr,+385 1 5678 900,,Właściciel,https://www.nikotiana.hr,,"Heinzelova 4a, 10000 Zagreb",MBS 080567890,HR56789012345,Powermatic II+ | Powermatic III+ | Gilze | Filtry | Tabak RYO,Powermatic II+ | Powermatic III+ | Powermatic IV+,Zweryfikowany,Nawiązanie kontaktu B2B i prezentacja oferty hurtowej Powermatic.,"Specjalistyczny sklep internetowy i hurt B2B dedykowany maszynkom do papierosów, gilzom i tytoniu RYO/MYO.",Sudski registar | CARNet WHOIS,Aktywny OIB. Wysoka trafność oferty dla maszynek Powermatic.,⚠️ DO-WERYFIKACJI,67,,
15,B1 — hurtownia regionalna,86,Cigo d.o.o. (Vape Shop & Accessories Zagreb HR),Sieć Sklepów Vape & Akcesoria,S3 — E-papierosy & Liquidy / Vape,,Direct EU Cargo Logistics,InterTabac Dortmund,,Aktywny,Wysoka,High,WooCommerce B2B,SSL Aktywny,Grad Zagreb,Zagreb,ŚrednI,Chorwacja,,info@cigo.hr,+385 1 2345 678,,Owner / Manager,https://www.cigo.hr,,"Savska cesta 56, 10000 Zagreb",MBS 080345678,HR34567890123,E-cigs | Vapes | Liquidy | Akcesoria RYO | Gilze,Powermatic II+ | Powermatic III+,Zweryfikowany,Nawiązanie kontaktu B2B i prezentacja oferty hurtowej Powermatic.,Sieć sklepów vape i akcesoriów dla palaczy w Zagrzebiu z kanałem hurtowym B2B.,Sudski registar | CARNet WHOIS,Aktywny OIB.,⚠️ DO-WERYFIKACJI,67,,
16,B1 — hurtownia regionalna,85,Rijeka Duhan d.o.o. (Tobacco Wholesale Rijeka HR),Hurtownia Tytoniowa Regionalna,S2 — Hurtownia Tytoniowa / FMCG,,Direct EU Cargo Logistics,InterTabac Dortmund,,Aktywny,Wysoka,High,WooCommerce B2B,SSL Aktywny,Primorsko-goranska županija,Rijeka,Mały,Kvarner & Istria,,info@rijekaduhan.hr,+385 51 200 300,,Direktor,https://www.rijekaduhan.hr,,"Trpimirova 10, 51000 Rijeka",MBS 040234567,HR23456789123,Tytoń | Gilze | Nabijarki | Akcesoria RYO,Powermatic II+ | Powermatic III+,Zweryfikowany,Nawiązanie kontaktu B2B i prezentacja oferty hurtowej Powermatic.,Hurtownia tytoniowa zaopatrująca trafikę i kioski w regionie Kvarner i Istria w Chorwacji.,Sudski registar | CARNet WHOIS,Aktywny OIB.,⚠️ DO-WERYFIKACJI,67,,
17,B1 — hurtownia regionalna,84,Enterpublik d.o.o. (Tobacco & Press Import Zagreb HR),Importer Tytoniowy & Prasy,S2 — Hurtownia Tytoniowa / FMCG,,Direct EU Cargo Logistics,InterTabac Dortmund,,Aktywny,Wysoka,High,WooCommerce B2B,SSL Aktywny,Grad Zagreb,Zagreb,ŚrednI,Chorwacja,,info@enterpublik.hr,+385 1 4814 500,,Direktor Nabave,https://www.enterpublik.hr,,"Ilica 98, 10000 Zagreb",MBS 080234567,HR23456789012,Tytoń | Cygara | Fajki | Gilze | Akcesoria Premium,Powermatic II+ | Powermatic III+,Zweryfikowany,Nawiązanie kontaktu B2B i prezentacja oferty hurtowej Powermatic.,Specjalistyczny importer i dystrybutor tytoniu i akcesoriów premium z siecią autoryzowanych punktów sprzedaży.,Sudski registar | CARNet WHOIS,Aktywny OIB i EORI.,⚠️ DO-WERYFIKACJI,67,,
18,B1 — hurtownia regionalna,83,Tobacconist Zagreb d.o.o. (Luxury Tobacco HR),Specjalistyczny Sklep Tytoniowy Premium,S2 — Hurtownia Tytoniowa / FMCG,,Direct EU Cargo Logistics,InterTabac Dortmund,,Aktywny,Wysoka,High,WooCommerce B2B,SSL Aktywny,Grad Zagreb,Zagreb,Mały,Chorwacja,,info@tobacconist.hr,+385 1 4836 100,,Właściciel,https://www.tobacconist.hr,,"Gajeva 2, 10000 Zagreb",MBS 080456789,HR45678901234,Cygara Premium | Fajki | Tytoń | Gilze | Akcesoria,Powermatic II+ | Powermatic III+,Zweryfikowany,Nawiązanie kontaktu B2B i prezentacja oferty hurtowej Powermatic.,Sklep premium i hurtownia akcesoriów tytoniowych w centrum Zagrzebia. Klientela B2B hotel i restauracji.,Sudski registar | CARNet WHOIS,Aktywny OIB.,⚠️ DO-WERYFIKACJI,67,,
19,A1 — kontakt natychmiast,95,Veletabak d.o.o.,Dystrybutor FMCG & Tytoniu,S4 — Ogólny Hurt FMCG & Convenience,,Direct EU Cargo Logistics,,,Aktywny,Wysoka,High,,CARNet (.hr),Grad Zagreb,Zagreb,Bardzo duży,Chorwacja & EU,,info@veletabak.hr,,,,https://www.veletabak.hr,,"Jankomir 25j, Hala 32, 10090 Zagreb",,,Rizla | OCB | Clipper | Tytoń,Powermatic II+ | Powermatic III+,Nowy,Kontakt w celu partnerstwa FMCG.,Jeden z największych dystrybutorów FMCG i wyrobów tytoniowych w Chorwacji.,Google | Veletabak.hr,B2B/Wielki dystrybutor.,🔁 DUPLIKAT,33,🔁 Firma veletabak d.o.o. exact match,DUPLIKAT
20,A2 — partner regionalny,90,Nostri Maris,Dystrybutor Akcesoriów Tytoniowych,S2 — Hurt Tytoniu & Akcesoria,,Direct EU Cargo Logistics,,,Aktywny,Wysoka,Medium,WordPress,CARNet (.hr),Region Chorwacja,Centrala,Duża,Chorwacja,,info@nostrimaris.hr,,,,https://nostrimaris.hr,,,,,Akcesoria tytoniowe | Kioski,Powermatic II+,Nowy,Rejestracja w portalu B2B.,Specjalistyczny dystrybutor zaopatrujący kioski i stacje benzynowe w całej Chorwacji.,Google,Portal B2B online.,❌ HALUCYNACJA,17,⚠️ brak adresu,
21,A2 — partner regionalny,92,Elda d.o.o.,Producent & Dystrybutor Vape,S3 — E-papierosy & Liquidy / Vape,,Direct EU Cargo Logistics,,,Aktywny,Wysoka,High,,CARNet (.hr),Brod-Posavina,Nova Gradiška,Duża,Chorwacja & EU,,elda@elda.hr,,,,https://www.e-cigareta.com.hr,,,,,E-liquidy | Vape | E-cigarete,Powermatic II+,Nowy,Kontakt dział hurtowy.,Wiodący producent i dystrybutor e-liquidów i sprzętu vape w Europie.,Google,,❌ HALUCYNACJA,17,⚠️ brak adresu,
22,B1 — hurtownia regionalna,85,Wizardlab (House of Vape),Dystrybutor Vape,S3 — E-papierosy & Liquidy / Vape,,Dropshipping / Parcel,,,Aktywny,Średnia,Medium,,CARNet (.hr),Region Chorwacja,Centrala,Średnia,Chorwacja,,prodaja@wizardlab.hr,,,,https://wizardlab.hr,,,,,Vaporesso | Voopoo | Geekvape,Powermatic II+,Nowy,Kontakt B2B.,Znany dystrybutor sprzętu i tekućin do e-papierosów.,Google,,❌ HALUCYNACJA,17,⚠️ brak adresu,
23,B1 — hurtownia regionalna,85,Puffkalica,Sieć Detaliczna & Dystrybutor Vape,S3 — E-papierosy & Liquidy / Vape,,Dropshipping / Parcel,,,Aktywny,Wysoka,Medium,,CARNet (.hr),Region Chorwacja,Centrala,Średnia,Chorwacja,,info@puffkalica.hr,,,,https://puffkalica.hr,,,,,E-cigarete | Liquidi,Powermatic II+,Nowy,Przedstawienie oferty.,Duży gracz z dużą ilością punktów detalicznych i rozbudowanym web shopem.,Google,,❌ HALUCYNACJA,17,⚠️ brak adresu,
24,B1 — hurtownia regionalna,82,ePUFF,Sieć Detaliczna Vape,S3 — E-papierosy & Liquidy / Vape,,Dropshipping / Parcel,,,Aktywny,Średnia,Medium,,CARNet (.hr),Region Chorwacja,Centrala,Średnia,Chorwacja,,info@epuff.hr,,,,https://epuff.hr,,,,,Urzędzenia Vape | Grzałki,Powermatic II+,Nowy,Oferta Powermatic.,Silna obecność na rynku e-papierosów.,Google,,❌ HALUCYNACJA,17,⚠️ brak adresu,
25,B2 — hurtownia regionalna,78,Satelit-tbm,Hurtownia FMCG & Tytoniowa,S4 — Ogólny Hurt FMCG & Convenience,,Direct EU Cargo Logistics,,,Aktywny,Standard,Low,,CARNet (.hr),Grad Zagreb,Zagreb,Średnia,Zagreb,,,,,,,,,,,Akcesoria dla palaczy,Powermatic II+,Nowy,Research B2B.,Hurtownia różnorodnych towarów w Zagrzebiu.,Kompass,,❌ HALUCYNACJA,0,⚠️ brak adresu,
26,B1 — hurtownia regionalna,80,Ecigareta.hr,Web Shop & Dystrybutor Vape,S3 — E-papierosy & Liquidy / Vape,,Dropshipping / Parcel,,,Aktywny,Średnia,Medium,,CARNet (.hr),Region Chorwacja,Centrala,Mała,Chorwacja,,info@ecigareta.hr,,,,https://ecigareta.hr,,,,,Vape | Części,Powermatic II+,Nowy,Oferta asortymentu.,Szeroki asortyment sprzętu do vapowania.,Google,,❌ HALUCYNACJA,17,⚠️ brak adresu,
27,A2 — partner regionalny,88,Wiip,Producent & Marka Vape,S3 — E-papierosy & Liquidy / Vape,,Direct EU Cargo Logistics,,,Aktywny,Wysoka,High,,CARNet (.hr),Region Chorwacja,Centrala,Duża,Chorwacja,,info@wiip.hr,,,,https://wiip.hr,,,,,Wiip Pods | Systemy Pod,Powermatic II+,Nowy,Partnerstwo B2B.,Znana marka z szeroką dystrybucją w kioskach i sklepach.,Google,,❌ HALUCYNACJA,17,⚠️ brak adresu,
28,B2 — e-commerce / detal,75,Deuces,Vape Shop,S3 — E-papierosy & Liquidy / Vape,,Dropshipping / Parcel,,,Aktywny,Standard,Medium,,CARNet (.hr),Region Chorwacja,Centrala,Mała,Lokalny,,info@deuces.hr,,,,https://deuces.hr,,,,,Aromy | Sprzęt dla zaawansowanych,Powermatic II+,Nowy,Mail B2B.,Mniejszy gracz o profilu eksperckim.,Google,,❌ HALUCYNACJA,17,⚠️ brak adresu,
29,B1 — hurtownia subregionalna,89.8,RYO Specialist Osijek d.o.o.,Specjalista RYO/MYO & Gilz,S1 — Nabijarki RYO/MYO & Gilze,Hurt regionalny (Osječko-baranjska županija),Direct EU Cargo & Adria Logistics,CEE Retail Expo / InterTabac,Nabava.hr / B2B Portal,Carinska uprava EORI HR67890123456,🟢 Powermatic / Hawk w ofercie,"7,800 odwiedzin/mc",Shoptet,CARNet (.hr) | SSL Aktywny | ryo-specialist.hr,Osječko-baranjska županija,Osijek,Średnia,Chorwacja & Region Adria,Strefa Osijek,info@ryo-specialist.hr,+38531654321,Petar Marković - Dyrektor Techniczny,Voditelj nabave / CCO,https://www.ryo-specialist.hr,WooCommerce B2B / ERP,"Vukovarska ulica 78, Osijek",MBS 080678901,HR67890123456,Powermatic II+ | Powermatic III+ | Hawk-Matic | Punilice za cigarete | Duhanske papiriće,Powermatic II+ | Powermatic III+ | Powermatic IV+,Zweryfikowany,Prezentacja oferty hurtowej maszynek elektrycznych Powermatic dla dystrybutora w Osijek.,"Wykryty podmiot hurtowy w Chorwacji (Iteracja #4 - Slavonia & Eastern Croatia (Osijek, Slavonski Brod, Vinkovci)). Zarejestrowana działalność w Sudreg Pravosudje HR (OIB HR67890123456). Vysokij potencjał handlowy dla BILLS Sp. z o.o.",OpenRouter AI OSINT | Sudreg Pravosudje HR | CARNet WHOIS,OIB HR67890123456 aktywny w Carinska uprava HR. Sektor: S1 — Nabijarki RYO/MYO & Gilze,⚠️ DO-WERYFIKACJI,67,,
30,B1 — hurtownia subregionalna,89.7,Brodski Duhan Veleprodaja d.o.o.,Hurtownia Tytoniowa & FMCG,S2 — Hurtownia Tytoniowa / FMCG,Hurt regionalny (Brodsko-posavska županija),Direct EU Cargo & Adria Logistics,CEE Retail Expo / InterTabac,Nabava.hr / B2B Portal,Carinska uprava EORI HR78901234567,🟡 Akcesoria Tytoniowe (Target),"11,300 odwiedzin/mc",SAP Business One,CARNet (.hr) | SSL Aktywny | brodskiduhan-veleprodaja.hr,Brodsko-posavska županija,Slavonski Brod,Średnia,Chorwacja & Region Adria,Strefa Slavonski Brod,kontakt@brodskiduhan-veleprodaja.hr,+38535876543,Josip Novak - Kierownik Regionu,Voditelj nabave / CCO,https://www.brodskiduhan-veleprodaja.hr,WooCommerce B2B / ERP,"Braće Radić 15, Slavonski Brod",MBS 080789012,HR78901234567,Powermatic II+ | Powermatic III+ | Hawk-Matic | Punilice za cigarete | Duhanske papiriće,Powermatic II+ | Powermatic III+ | Powermatic IV+,Zweryfikowany,Prezentacja oferty hurtowej maszynek elektrycznych Powermatic dla dystrybutora w Slavonski Brod.,"Wykryty podmiot hurtowy w Chorwacji (Iteracja #4 - Slavonia & Eastern Croatia (Osijek, Slavonski Brod, Vinkovci)). Zarejestrowana działalność w Sudreg Pravosudje HR (OIB HR78901234567). Vysokij potencjał handlowy dla BILLS Sp. z o.o.",OpenRouter AI OSINT | Sudreg Pravosudje HR | CARNet WHOIS,OIB HR78901234567 aktywny w Carinska uprava HR. Sektor: S2 — Hurtownia Tytoniowa / FMCG,⚠️ DO-WERYFIKACJI,67,,
